ID,unit_address_as_provided,ADDRESS,state,city,zip_code,rent
258,"321 Meadowcreek Desoto, TX 75115-5754",321 Meadowcreek Dr,TX,Desoto,75115,1618
259,"14235 Chaps Drive Dallas, TX 75253",14235 Chaps Dr,TX,Dallas,75253,1823
260,"826 E Celeste Garland, TX 75041-3217",826 E Celeste Dr,TX,Garland,75041,1565
261,"418 Thistle Garland, TX 75043-3236",418 Thistle Dr,TX,Garland,75043,1733
262,"4130 Salem Garland, TX 75043-3254",4130 Salem Dr,TX,Garland,75043,1602
263,"130 Southampton Rockwall, TX 75032-6593",130 Southampton Dr,TX,Rockwall,75032,2651
264,"3309 Magnolia Rowlett, TX 75089-3156",3309 Magnolia Ct,TX,Rowlett,75089,1821
265,"316 Peachtree Princeton, TX 75407-5744",316 Peachtree Ln,TX,Princeton,75407,1606
266,"4513 Hartford Plano, TX 75093-5420",4513 Hartford Dr,TX,Plano,75093,2383
267,"849 Lariat Drive Saginaw, TX 76131-4954",849 Lariat Dr,TX,Saginaw,76131,1820
